,ID,Genus,Species
280,11000012,latifrons,
281,11000013,,
282,11000014,ursinus,
283,11000015,,
284,11000016,,
285,11000017,,
286,11000018,,
287,11000019,parvus,
288,11000020,,
289,11000021,caudatus,
290,11000022,caudatus,
291,11000023,caudatus,
292,11000024,concinnus,
293,11000025,concinnus,
294,11000026,concinnus,
295,11000027,lepidus,
296,11000028,nanus,
297,11000029,nanus,
298,11000030,nanus,
299,11000031,,
300,11000032,,
301,11000033,,
302,11000034,melanotis,
303,11000035,ursinus,
304,11000036,ursinus,
305,11000037,ursinus,
306,11000038,ursinus,
307,11000039,ursinus,
308,11000040,,
309,11000041,,
310,11000042,,
311,11000043,alexandrae,
312,11000044,carmelitae,
313,11000045,carmelitae,
314,11000046,carmelitae,
315,11000047,gymnotis,
316,11000048,gymnotis,
317,11000049,gymnotis,
318,11000050,intercastellanus,
319,11000051,lullulae,
320,11000052,matabiru,
321,11000053,matanim,
322,11000054,mimicus,
323,11000055,mimicus,
324,11000056,mimicus,
325,11000057,orientalis,
326,11000058,orientalis,
327,11000059,orientalis,
328,11000060,ornatus,
329,11000061,rothschildi,
330,11000062,sericeus,
331,11000063,sericeus,
332,11000064,sericeus,
333,11000065,vestitus,
334,11000066,,
335,11000067,kraemeri,
336,11000068,maculatus,
337,11000069,maculatus,
338,11000070,maculatus,
339,11000071,maculatus,
340,11000072,maculatus,
341,11000073,papuensis,
342,11000074,rufoniger,
343,11000075,,
344,11000076,,
345,11000077,celebensis,
346,11000078,celebensis,
347,11000079,celebensis,
348,11000080,celebensis,
349,11000081,pelengensis,
350,11000082,pelengensis,
351,11000083,pelengensis,
352,11000084,,
353,11000085,arnhemensis,
354,11000086,caninus,
355,11000087,cunninghami,
356,11000088,johnstonii,
357,11000089,vulpecula,
358,11000090,,
359,11000091,squamicaudata,
360,11000092,,
361,11000093,,
362,11000094,,
363,11000095,,
364,11000096,lemuroides,
365,11000097,,
366,11000098,volans,
367,11000099,volans,
368,11000100,volans,
369,11000101,,
370,11000102,,
371,11000103,dahli,
372,11000104,,
373,11000105,peregrinus,
374,11000106,peregrinus,
375,11000107,peregrinus,
376,11000108,peregrinus,
377,11000109,peregrinus,
378,11000110,,
379,11000111,canescens,
380,11000112,canescens,
381,11000113,canescens,
382,11000114,canescens,
383,11000115,canescens,
384,11000116,canescens,
385,11000117,caroli,
386,11000118,caroli,
387,11000119,caroli,
388,11000120,cinereus,
389,11000121,forbesi,
390,11000122,herbertensis,
391,11000123,larvatus,
392,11000124,mayeri,
393,11000125,schlegeli,
394,11000126,,
395,11000127,,
396,11000128,albertisii,
397,11000129,albertisii,
398,11000130,albertisii,
399,11000131,albertisii,
400,11000132,archeri,
401,11000133,corinnae,
402,11000134,corinnae,
403,11000135,corinnae,
404,11000136,corinnae,
405,11000137,coronatus,
406,11000138,cupreus,
407,11000139,,
408,11000140,,
409,11000141,megalura,
410,11000142,palpator,
411,11000143,tatei,
412,11000144,trivirgata,
413,11000145,trivirgata,
414,11000146,trivirgata,
415,11000147,trivirgata,
416,11000148,trivirgata,
417,11000149,,
418,11000150,leadbeateri,
419,11000151,,
420,11000152,abidi,
421,11000153,australis,
422,11000154,australis,
423,11000155,australis,
424,11000156,biacensis,
425,11000157,breviceps,
426,11000158,breviceps,
427,11000159,breviceps,
428,11000160,breviceps,
429,11000161,breviceps,
430,11000162,gracilis,
431,11000163,norfolcensis,
432,11000164,,
433,11000165,,
434,11000166,rostratus,
435,11000167,,
436,11000168,,
437,11000169,pygmaeus,
438,11000170,,
439,11000171,pennatus,
440,11000172,,
441,11000173,,
442,11000174,,
443,11000175,moschatus,
444,11000176,,
445,11000177,,
446,11000178,rufescens,
447,11000179,,
448,11000180,gaimardi,
449,11000181,lesueur,
450,11000182,penicillata,
451,11000183,tropica,
452,11000184,,
453,11000185,campestris,
454,11000186,,
455,11000187,gilbertii,
456,11000188,longipes,
457,11000189,platyops,
458,11000190,tridactylus,
459,11000191,tridactylus,
460,11000192,tridactylus,
461,11000193,,
462,11000194,,
463,11000195,,
464,11000196,fasciatus,
465,11000197,fasciatus,
466,11000198,fasciatus,
467,11000199,,
468,11000200,,
469,11000201,bennettianus,
470,11000202,dorianus,
471,11000203,dorianus,
472,11000204,dorianus,
473,11000205,dorianus,
474,11000206,goodfellowi,
475,11000207,goodfellowi,
476,11000208,goodfellowi,
477,11000209,inustus,
478,11000210,inustus,
479,11000211,inustus,
480,11000212,lumholtzi,
481,11000213,matschiei,
482,11000214,mbaiso,
483,11000215,pulcherrimus,
484,11000216,scottae,
485,11000217,spadix,
486,11000218,stellarum,
487,11000219,ursinus,
488,11000220,,
489,11000221,atrata,
490,11000222,hageni,
491,11000223,luctuosa,
492,11000224,luctuosa,
493,11000225,luctuosa,
494,11000226,muelleri,
495,11000227,muelleri,
496,11000228,muelleri,
497,11000229,muelleri,
498,11000230,muelleri,
499,11000231,,
500,11000232,macleayi,
501,11000233,vanheurni,
502,11000234,,
503,11000235,asomatus,
504,11000236,conspicillatus,
505,11000237,hirsutus,
506,11000238,leporides,
507,11000239,,
508,11000240,,
509,11000241,,
510,11000242,,
511,11000243,agilis,
512,11000244,agilis,
513,11000245,agilis,
514,11000246,agilis,
515,11000247,agilis,
516,11000248,,
517,11000249,,
518,11000250,,
519,11000251,,
520,11000252,,
521,11000253,,
522,11000254,,
523,11000255,,
524,11000256,,
525,11000257,,
526,11000258,,
527,11000259,,
528,11000260,,
529,11000261,,
530,11000262,,
531,11000263,,
532,11000264,,
533,11000265,,
534,11000266,,
535,11000267,,
536,11000268,,
537,11000269,,
538,11000270,,
539,11000271,,
540,11000272,,
541,11000273,,
542,11000274,,
543,11000275,,
544,11000276,,
545,11000277,,
546,11000278,,
547,11000279,,
548,11000280,,
549,11000281,,
550,11000282,,
551,11000283,,
552,11000284,,
553,11000285,,
554,11000286,,
555,11000287,,
556,11000288,,
557,11000289,,
558,11000290,,
559,11000291,,
560,11000292,,
561,11000293,,
562,11000294,,
563,11000295,,
564,11000296,,
565,11000297,,
566,11000298,,
567,11000299,,
568,11000300,,
569,11000301,,
570,11000302,,
571,11000303,,
572,11000304,,
573,11000305,,
574,11000306,,
575,11000307,,
576,11000308,,
577,11000309,,
578,11000310,,
579,11000311,,
580,11000312,,
581,11000313,,
582,11000314,,
583,11100001,,
584,11100002,,
585,11100003,,
586,11100004,,
587,11100005,,
588,11100006,,
589,11100007,,
590,11100008,,
591,11100009,,
592,11100010,,
593,11100011,,
594,11100012,,
595,11100013,,
596,11100014,,
597,11100015,,
598,11100016,,
599,11100017,,
600,11100018,,
601,11100019,,
602,11100020,,
603,11100021,,
604,11100022,,
605,11100023,,
606,11100024,,
607,11100025,,
608,11100026,,
609,11100027,,
610,11100028,,
611,11100029,,
612,11100030,,
613,11100031,,
614,11100032,,
615,11100033,,
616,11100034,,
617,11100035,,
618,11100036,,
619,11100037,,
620,11100038,,
621,11100039,,
622,11100040,,
623,11100041,,
624,11100042,,
625,11100043,,
626,11100044,,
627,11100045,,
628,11100046,,
629,11100047,,
630,11100048,,
631,11100049,,
632,11100050,,
633,11100051,,
634,11100052,,
635,11100053,,
636,11100054,,
637,11100055,,
638,11100056,,
639,11100057,,
640,11100058,,
641,11100059,,
642,11100060,,
643,11100061,,
644,11100062,,
645,11100063,,
646,11100064,,
647,11100065,,
648,11100066,,
649,11100067,,
650,11100068,,
651,11100069,,
652,11100070,,
653,11100071,,
654,11100072,,
655,11100073,,
656,11100074,,
657,11100075,,
658,11100076,,
659,11100077,,
660,11100078,,
661,11100079,,
662,11100080,,
663,11100081,,
664,11100082,,
665,11100083,,
666,11100084,,
667,11100085,,
668,11100086,,
669,11100087,,
670,11100088,,
671,11100089,,
672,11100090,,
673,11100091,,
674,11100092,,
675,11100093,,
676,11100094,iris,
677,11100095,,
678,11100096,,
679,11100097,,
680,11100098,,
681,11100099,,
682,11100100,,
683,11100101,,
684,11100102,,
685,11100103,,
686,11100104,,
687,11100105,,
688,11100106,,
689,11100107,,
690,11100108,,
691,11100109,,
692,11100110,,
693,11100111,,
694,11100112,,
695,11100113,,
696,11100114,,
697,11200001,,
698,11200002,,
699,11200003,,
700,11200004,,
701,11200005,,
702,11200006,,
703,11200007,,
704,11200008,,
705,11200009,,
706,11200010,,
707,11200011,,
708,11200012,,
709,11200013,,
710,11200014,,
711,11200015,,
712,11200016,,
