,Scientific name,Common name,TypeLocality
5113,pyrrhorhinos FALSE,Red-nosed Wiedomys,"Brazil, Bahia State, caatingas along the Riacho da Ressaca, between the farms Tamboril and Ilha (as clariﬁed by Avila-Pires, 1965)."
5114, FALSE,,
5115,oenax FALSE,Rufous-nosed Wilfredomys,"Brazil, Rio Grande do Sul State, Saő Lourenço."
5116, FALSE,,
5117,brevicauda FALSE,Short-tailed Zygodont,"Trinidad, Princes Town."
5118,brunneus FALSE,Brown Zygodont,"Colombia, ""El Saibal, W. Cundinamarca"" (indeterminate location of type locality discussed by Voss, 1991<i>a</i>)."
5119, FALSE,,
5120, FALSE,,
5121,sumichrasti FALSE,Sumichrast’s Vesper Rat,"Mexico, Veracruz, Uvéro, 20 km NW Santiago Tuxtla (as restricted by Alvarez, 1963:583). Lowland and lower montane forests from S Jalisco and S Veracruz, Mexico, south to C Panama, excluding the Yucatán Peninsula."
5122, FALSE,,
5123,hatti FALSE,Yucatán Vesper Rat,"Mexico, Yucatán, Chichén Itzá."
5124, FALSE,,
5125,phyllotis FALSE,Big-eared Climbing Rat,"Mexico, Yucatán, Tunkás."
5126, FALSE,,
5127,bullaris FALSE,Chiapan Climbing Rat,"Mexico, Chiapas, Tuxtla Gutierrez."
5128,fulviventer FALSE,Fulvous-bellied Climbing Rat,"Panama, Darien Prov., Tacarcuna, 4200 ft (1280 m)."
5129,mirae FALSE,Mira Climbing Rat,"Ecuador, Imbabura Prov., Rio Mira, Paramba."
5130,nudicaudus FALSE,Peter’s Climbing Rat,Guatemala.
5131,panamensis FALSE,Panamá Climbing Rat,Panamá.
5132,tumbalensis FALSE,Tumbalá Climbing Rat,"Mexico, Chiapas, Tumbalá."
5133,watsoni FALSE,Watson’s Climbing Rat,"Panamá, Chiriqui Prov., Volcan de Chiriqui, Bogava (= Bugaba), 800 ft (244 m)."
5134, FALSE,,
5135, FALSE,,
5136, FALSE,,
5137, FALSE,,
5138, FALSE,,
5139, FALSE,,
5140,airensis FALSE,Western Saharan Spiny mouse,"Niger, Mt Baguezan, Asben (Aďr), 5200 ft (1585 m)."
5141,cahirinus FALSE,Northeast African Spiny Mouse,"Egypt, Cairo."
5142,chudeaui FALSE,Chudeau’s Spiny Mouse,"Mauritania, Atar, SW of Biskra."
5143,cilicicus FALSE,Turkish Spiny Mouse,"Asiatic Turkey, Vil Mersin, 17 km E Silifke."
5144,cineraceus FALSE,Gray Spiny Mouse,"EC Sudan, ""Eastern Sennaar and about Kalabat"" (G. M. Allen, 1939)."
5145,dimidiatus FALSE,Eastern Spiny Mouse,"Egypt, Sinai."
5146,ignitus FALSE,Fiery Spiny Mouse,"Kenya, Voi."
5147,johannis FALSE,Johan’s Spiny Mouse,"N Nigeria, Bauchi Plateau Kabwir (Rosevear, 1969, provided more information about holotype and origin of common name)."
5148,kempi FALSE,Kemp’s Spiny Mouse,"Kenya, Chanler Falls, N Guaso Nyiro."
5149,louisae FALSE,Louise’s Spiny Mouse,"Somalia, 40 mi (64.4 km) south of Berbera."
5150,minous FALSE,Crete Spiny Mouse,"Greece, Crete Isl, Kanea."
5151,mullah FALSE,Mullah Spiny Mouse,Ethiopia.
5152,nesiotes FALSE,Cyprus Spiny Mouse,"Cyrus, Kernyia Hills, near Dikomo."
5153,percivali FALSE,Percival’s Spiny Mouse,"Kenya, Chanler Falls, Nyiro."
5154,russatus FALSE,Golden Spiny Mouse,"Egypt, Sinai."
5155,seurati FALSE,Seurat’s Spiny Mouse,"S Algeria, Iniker, A’hagger (Ahaggar Mtns; Ellerman and Morrison-Scott, 1951; Ranck, 1968).Recorded only from mountains of S Algeria, in Hoggar, Mouydir and Tassili n’Ajjers (Bates, 1994; Kowalski and Rzebik-Kowalska, 1991)."
5156,spinosissimus FALSE,Southern African Spiny Mouse,"Mozambique, Tette and Buio."
5157,subspinosus FALSE,Cape Spiny Mouse,"South Africa, Western Cape Province, Cape of Good Hope."
5158,wilsoni FALSE,Wilson’s Spiny mouse,"Kenya, Mombasa."
5159,GENUS YES,,
5160,SPECIES YES,Congo Forest Rat,Lower Congo.
5161,GENUS YES,,
5162,SUBGENUS YES,,
5163,SUBGENUS YES,,
5164,SPECIES YES,Dark-colored Brush-furred Rat,"East Africa, Tanzania, Mt Kilimanjaro, 8000 ft (2650 m; coordinates given by W. Verheyen et al., 2002)."
5165,SPECIES YES,Angolan Brush-furred Rat,"SW Dem. Rep. Congo, Mbwambala, 500 m (W. Verheyen et al., 2000, provided additional data)."
5166,SPECIES YES,Ansorge’s Brush-furred Rat,"Kenya, Nyanza Province, Mumia’s."
5167,SPECIES YES,Short-tailed Brush-furred Rat,"Ethiopia, Arusi (=Arsi) Province, Chilalo Mtns, Mt Albasso."
5168,SPECIES YES,"Thomas’s Ethiopian Brush-furred RatS Ethiopia, Manno-Jimma, 4200 ft (1280 m; W. Verheyen et al., 2002, provide coordinates).Endemic to S Ethiopia on highlands west of the Rift Valley, from the Simien Mtns in the north to Manno-Jimma in the south (see specimens examined in W. Verheyen et al., 2002).",
5169,SPECIES YES,Ethiopian Forest Brush-furred Rat,"Ethiopia, Sidamo Province, Allata."
5170,SPECIES YES,Mount Oku Brush-furred Rat,"West Cameroon, Bamenda-Banso highlands, border of the crater lake on Mt Oku, 2100 m (see W. Verheyen et al., for additional information)."
5171,SPECIES YES,Dudu’s Brush-furred Rat,"N Dem. Rep. Congo, Orientale (Haut-Zaďre), right bank Congo River near Kisangani, Masako Forest Reserve, ""rainforest of the Tshoporiver,"" 440 m, 00EE36'N, 25EE13'E (W. Verheyen et al., 2002:147)."
5172,SPECIES YES,Mount Lefo Brush-furred Rat,"West Cameroon, Bamenda-Banso highlands, Mt Lefo, 2550 m (Hutterer et al., 1992<i>a</i>; W. Verheyen et al., 1997)."
5173,SPECIES YES,Ethiopian Buﬀ-spotted Brush-furred Rat,"Ethiopia, Shoa (=Shewa) Province, probably obtained at Ankober, 100 mi. (161 km) NE Addis Ababa (Thomas, 1888<i>d</i>), 3000 m (coordinates given by W. Verheyen et al., 2002)."
5174,SPECIES YES,Hutterer’s Brush-furred Rat,"N Dem. Rep. Congo, near village of Yaenero on left side of Congo River, 450 m (see W. Verheyen et al., 1996<i>a</i>, for additional information)."
5175,SPECIES YES,Buﬀ-bellied Brush-furred Rat,"Dem. Rep. Congo, Orientale (Haute-Zaire), Ituri Dist., Medje."
5176,SPECIES YES,Western Rift Brush-furred Rat,"Dem. Rep. Congo, Kivu region, Lemera-Nyabutera."
5177,SPECIES YES,Black-clawed Brush-furred Rat,"Ethiopia, Bale Dist., Dinshu."
5178,SPECIES YES,Fire-bellied Brush-furred Rat,
5179,SPECIES YES,Rahm’s Brush-furred Rat,"Dem. Rep. Congo, Kivu, Bogamanda near Lemera."
5180,SPECIES YES,"Mount Cameroon Brush-furred Rat West Cameroon, Mt Cameroon, Musake, 1850-2200 m (see W. Verheyen et al., 1997, for additional information).",
5181,SPECIES YES,Rusty-bellied Brush-furred Rat,"Ghana, Dabacrom."
5182,SPECIES YES,Verhagen’s Brush-furred Rat,"N Tanzania, Mt. Meru, 2600 m (coordinates given by W. Verheyen et al., 2002)."
5183,SPECIES YES,Woosnam’s Brush-furred Rat,"Uganda, Ruwenzori East, Mubuku Valley, 6000 ft (1830 m)."
5184,SPECIES YES,Zena’s Brush-furred Rat,"East Africa, S Kenya, near Nyeri, east side of Aberdare Range, 9581 ft (2920 m; coordinates given by W. Verheyen et al., 2002)."
5185,GENUS YES,,
5186,SPECIES YES,Rudd’s Bristle-furred Rat,"Kenya, Mt Elgon, Kirui, 6000 ft (1830 m)."
5187,SUBFAMILY YES,,
5188,GENUS YES,,
5189,SPECIES YES,,"Somalia, Goodar."
5190,GENUS YES,,
5191,SPECIES YES,Przewalski’s Jird,"China, Xinjiang, Lob Nor."
5192,GENUS YES,,
5193,SPECIES YES,,"Sudan, south of El Obeid."
5194,GENUS YES,,
5195,SPECIES YES,Cape Short-tailed Gerbil,"South Africa, Little Namaqualand, Kamiesberg (Meester et al., 1986)."
5196,GENUS YES,,
5197,SUBGENUS YES,,
5198,SUBGENUS YES,,
5199,SPECIES YES,,"Sudan, Sennar."
5200,SPECIES YES,North African Dipodil,"Algeria, Constantine Province, Philipeville."
5201,SPECIES YES,Wagner’s Dipodil,Sinai.
5202,SPECIES YES,Harwood’s Dipodil,"Kenya, Lake Naivasha."
5203,SPECIES YES,,"Tunisia, between Bou Ficha and Enﬁdaville.
Tunisia."
5204,SPECIES YES,,"Sudan, Jebel Marra."
5205,SPECIES YES,Mackilligin’s Dipodil,"Egypt, Wadi Alagi, E desert of Nubia."
5206,SPECIES YES,Maghreb Dipodil,"Morocco, Fes Province, 15 km WSW Taounate (see Lay, 1983, and map in Aulagnier and Thevenot, 1986)."
5207,SPECIES YES,Rupicolous Dipodil,"Sahelian region of N Mali, 12 km east of Mopti, Emnal’here, right bank of main course of Niger River (14E28'26"" N, 04E05'16"" W); Granjon et al. (2002<i>a</i>) provided details of trap location and habitat."
5208,SPECIES YES,,"Algeria, Oued Magra."
5209,SPECIES YES,Somalian Dipodil,"Somalia, Upper Sheikh."
5210,SPECIES YES,Khartoum Dipodil,"Sudan, Khartoum.
Sudan."
5211,SPECIES YES,Kerkennah Islands Dipodil,"N Africa, Tunisia, Kerkennah Isls, 0.5 km E Kellabine, about 42 km east of Sfax, Tunisia."
5212,GENUS YES,,
5213,SUBGENUS YES,,
5214,SUBGENUS YES,,
5215,SPECIES YES,,"South Africa, Cape of Good Hope, vicinity of Cape Town (as restricted by Meester et al., 1986)."
5216,SPECIES YES,,"Dem. Rep. Congo, Katanga Province, Marungu, Qua Mpala (see Ansell, 1978, and Hill and Carter, 1941, for placement of type locality in S Dem. Rep. Congo; it has also been identiﬁed as N Zambia [G. M. Allen, 1939; Bates, 1988])."
5217,SPECIES YES,,"South Africa, Ladybrand, E Free State Province, near Lesotho border (see Meester et al., 1986, for details)."
5218,SPECIES YES,,"Guinea-Bissau, Gunnal."
5219,SPECIES YES,Gorongoza Gerbil,"Mozambique, Gorongoza Dist., Tambarara."
5220,SPECIES YES,Northern Savanna Gerbil,"Nigeria, Aguleri."
5221,SPECIES YES,,"Mozambique, north of Zambezi River, Mesuril (as restricted by Davis, 1949:1004)."
5222,SPECIES YES,Black-tailed Gerbil,"Kenya, Taita, Ndi."
5223,SPECIES YES,,"Somalia, Hanka Dadi."
5224,SPECIES YES,Fringe-tailed Gerbil,"Sudan, Ambukol."
5225,SPECIES YES,Southern Savanna Gerbil,"Angola, Rio Cuando, Ambaca, Quissange, Caconda."
5226,GENUS YES,,
5227,SUBGENUS YES,,
5228,SUBGENUS YES,,
5229,SUBGENUS YES,,
5230,SPECIES YES,Paeba Hairy-footed Gerbil,"South Africa, W Eastern Cape Province, Vryberg (as restricted by Roberts, 1951:401)."
5231,SPECIES YES,Setzer’s Hairy-footed Gerbil,"Namibia, Gobabeb, 1 mi (1.6 km) E Namib Desert Research Station."
5232,SPECIES YES,Dune Hairy-footed Gerbil,"Namibia, Namib Desert, Sossusvlei."
5233,SPECIES YES,Brush-tailed Hairy-footed Gerbil,"South Africa, Northern Cape Province, Bushmanland, Kenhart, Tuin (see Meester et al., 1986)."
5234,GENUS YES,,
5235,SUBGENUS YES,,
5236,SUBGENUS YES,,
5237,SPECIES YES,,"Somalia, Berbera.
Somalia."
5238,SPECIES YES,,"Sudan, W Kordofan, Agageh Wells."
5239,SPECIES YES,,"Egypt, Giza Province."
5240,SPECIES YES,Anderson’s Gerbil,"Egypt, E Alexandria, Mandara."
5241,SPECIES YES,,"Iran, 60 km W Kerman."
5242,SPECIES YES,Brockman’s Gerbil,"Somalia, Burao, 85 mi (137 km) S Berbera.
Somalia."
5243,SPECIES YES,,"Sudan, Dharfur."
5244,SPECIES YES,Cheesman’s Gerbil,"Iraq, Lower Euphrates, near Basra."
5245,SPECIES YES,,"Sudan, Dongola."
5246,SPECIES YES,,"Somalia, Gerlogobi."
5247,SPECIES YES,Black-tufted Gerbil,"South Yemen, Aden, Lehej."
5248,SPECIES YES,,"Egypt, Sinai, S of El Arish."
5249,SPECIES YES,,"Algeria, Ouargla, Sidi Roueld.
Algeria."
5250,SPECIES YES,Lesser Egyptian Gerbil,"Egypt, Giza Province."
5251,SPECIES YES,Indian Hairy-footed Gerbil,"Pakistan, Upper Sind, Rohri Dist, Mirpur-Drahrki Taluka, 15 mi (24 km) SW Rehti, Beruto. NW India (Rajasthan and Gujarat; see Agrawal, 2000), sand dunes along Indus Valley of Pakistan (see Lay and Nadler, 1975)."
5252,SPECIES YES,Grobben’s Gerbil,"Libya, Cyrenaica, Dernah."
5253,SPECIES YES,,"Egypt, Wadi Natron, Zaghig."
5254,SPECIES YES,Moroccan Gerbil,"Morocco, Mogador (= Essouira)."
5255,SPECIES YES,Hoogstraal’s Gerbil,"Morocco, 7 km S Taroudannt."
5256,SPECIES YES,,"Tunisia, Kebili."
5257,SPECIES YES,Mauritanian Gerbil,"Mauritania, Aouker Region, south of Archane Titarek."
5258,SPECIES YES,Mesopotamian Gerbil,"Iraq, southwest of Faluja, W bank of Euphrates River, near Amiriya."
5259,SPECIES YES,,"Sudan, Darfur, Madu, 80 mi (129 km) NE El Fasher.
Sudan."
5260,SPECIES YES,,"Sudan, Plains of Darfur, 45 mi (72 km) N El Fasher."
5261,SPECIES YES,Baluchistan Gerbil,"Pakistan, Gedrosia (see Lay, 1983)."
5262,SPECIES YES,,"Nigeria, Farniso, near Kano."
5263,SPECIES YES,Occidental Gerbil,"Morocco, Aoreora, 80 km WSW Goulimine."
5264,SPECIES YES,,"Egypt, Bir Victoria."
5265,SPECIES YES,Large Aden Gerbil.,"Yemen, Aden, Lahej."
5266,SPECIES YES,,"Sudan, Jebel Meidob, El Malha."
5267,SPECIES YES,,"Ethiopia, Lake Rudolf, Rusia."
5268,SPECIES YES,,"Kenya, Ndi and Kitui."
5269,SPECIES YES,Greater Egyptian Gerbil,"Egypt, Giza Province."
5270,SPECIES YES,Rosalinda Gerbil,"Sudan, Kordofan, Abu Zabad, 145 km SW El Obeid.
Sudan."
5271,SPECIES YES,,"Libya, 12 km N Noﬁlia."
5272,SPECIES YES,,"Libya, Sebha."
5273,SPECIES YES,Vivacious Gerbil,"Libya, Sebha.
Libya."
5274,SPECIES YES,,"Sudan, Upper Nile, Shendi."
5275,GENUS YES,,
5276,SUBGENUS YES,,
5277,SUBGENUS YES,,
5278,SUBGENUS YES,,
5279,SUBGENUS YES,,
5280,SPECIES YES,,"Saudi Arabia, Yabrin (Jabrin), Djebel Agoula."
5281,SPECIES YES,,"China, N Xinjiang (Sinkiang), Da-Ho-Yien, Turfan."
5282,SPECIES YES,,"Egypt, Sinai, Fount of Moses (Ain Musa)."
5283,SPECIES YES,,"Armenia, Sadarak steppe, foothills of Vardanis (Saraibulak) Ridge."
5284,SPECIES YES,,"Morocco, Marrakesh."
5285,SPECIES YES,Indian Desert Jird,"India, Hurriana Dist."
5286,SPECIES YES,,"""Libische Wuste"" (Libyan Desert), as restricted by lectotype designation by Pavlinov (1982<i>c</i>:1767); usually listed as Egypt, near Alexandria, due to the interpretation of Lichtenstein’s type locality by Chaworth-Musters and Ellerman (1947:485)."
5287,SPECIES YES,,"Se Russia, Astrakhanskaya Oblast, Dosang (as restricted by Heptner, <i>in</i> Vinogradov et al., 1936, not Chaworth-Musters and Ellerman, 1947; see Pavlinov and Rossolimo, 1987)."
5288,persicus FALSE,,"Iran, Kohrud, north of Isfahan."
5289,rex FALSE,,"Yemen, Lahej, near Aden."
5290,sacramenti FALSE,,"Israel, 10 mi (16 km) S Beersheba."
5291,shawi FALSE,,"Algeria, Oran."
5292,tamariscinus FALSE,,"Kazakhstan, Saraitschikowski (= Saraichik)."
5293,tristrami FALSE,,"Israel, Dead Sea region."
5294,unguiculatus FALSE,,"China, N Shanxi, 10 mi (16 km) NE of Tschang-Kur, Eul-che san hao (= Ershi san hao)."
5295,vinogradovi FALSE,Vinogradov’s Jird,"Iran, Persian Azarbaijan."
5296,zarudnyi FALSE,,"Turkmenistan, Kushka (Afghanistan-Turkmenistan border).
NE Iran, N Afghanistan, and S Turkmenistan."
5297, FALSE,,
5298,peeli FALSE,Somali Pygmy Gerbil,"Somalia, Eyk."
5299, FALSE,,
5300,duprasi FALSE,,"Algeria, Laghouat."
5301, FALSE,,
5302,obesus FALSE,,"Egypt, Alexandria."
5303,vexillaris FALSE,Lesser Sand Rat,"Libya, Tripolitania Province, Bu Ngem (Bondjem).
Algeria, Tunisia, and Libya."
5304, FALSE,,
5305,opimus FALSE,,"Kazakhstan, Kzyl-Ordinskaya, KaraKumy Desert (see Pavlinov and Rossolimo, 1987)."
5306, FALSE,,
5307,calurus FALSE,Bushy-tailed Jird,"Egypt, Sinai, near Tor."
5308, FALSE,,
5309,indica FALSE,,"India, United Province, between Benares and Hardwar."
5310, FALSE,,
5311,arenarius FALSE,Robbins’s Tateril,"Mauritania, Trarza Region, Tiguent."
5312,congicus FALSE,,"Dem. Rep. Congo, Orientale, Upper Uele River<b> </b>(Welle), Poko."
5313,emini FALSE,,"Uganda, Wadelai."
5314,gracilis FALSE,,"Gambia (see Robbins, 1974)."
5315,harringtoni FALSE,Harrington’s Tateril,"Ethiopia, east of Lake Turkana (Rudolf), near Mutti Galeb."
5316,lacustris FALSE,Lake Chad Tateril,"Nigeria, Lake Chad (= Kaddai).
NE Nigeria and Cameroon."
5317,petteri FALSE,,"Burkina Faso (Upper Volta), Oudalan Province, near Oursi Pond; 14EE38'N, 00EE26'W (Sicard et al., 1988:188)."
5318,pygargus FALSE,,"Senegal, probably St. Louis (as suggested by Robbins, 1977:191)."
5319,tranieri FALSE,,"W Mali, Dilly (15E01'129'’N, 07E40'084'’W); see Dobigny et al. (2003) for details."
5320, FALSE,,
5321, FALSE,,
5322,büttneri FALSE,Büttner’s African Forest Mouse,"Togo, Bismarckburg, 710 m (see Denys, 1993; Misonne, 1966; and Rosevear, 1969 for additional data)."
5323, FALSE,,
5324, FALSE,,
5325,latidens FALSE,Luzon Broad-toothed Rat,"Philippines, Luzon Isl, Mountain Province, Mt Data, 7500 ft (2286 m)."
5326, FALSE,,
5327,sevia FALSE,Papuan Abeomelomys,"Papua New Guinea, Morobe Province, Huon Peninsula, Cromwell Range, Sevia, 1400 m. Papua New Guinea; disjunct montane populations in Central Cordillera of Papua New Guinea from Star Mtns (Telefomin area) in the west to Wau region of Morobe Province in the east, and isolated population in the Cromwell Range on Huon Peninsula; 1400-3100 m (Flannery, 1995<i>a</i>; Menzies, 1990)."
5328, FALSE,,
5329,bocagei FALSE,Bocage’s Aethomys,"Angola, Pungo Andongo."
5330,chrysophilus FALSE,Red Veld Aethomys,"E Zimbabwe, Mashonaland, Mazoe (see Chimimba, 1998:430)."
5331,hindei FALSE,Hinde’s Aethomys,"Kenya, Machakos."
5332,ineptus FALSE,Tete Veld Aethomys,"Mozambique, Zambezi River, Tette (= Tete); see Chimimba (1998:432) for details."
5333,kaiseri FALSE,Kaiser’s Aethomys,"Dem. Rep. Congo, Katanga Marungu."
5334,nyikae FALSE,Nyika Aethomys,"N Malawi, Nyika Plateau (probably on lower slopes; Ansell and Ansell, 1973; Ansell and Dowsett, 1988; Ansell, 1989<i>b</i>)."
5335,silindensis FALSE,Seilinda Aethomys,"E Zimbabwe, Mt Seilinda, Chirinda Forest (see Chimimba, 1998:433, for additional data). E Zimbabwe (Chimimba et al., 1999:508; Skinner and Smithers, 1990:277)."
5336,stannarius FALSE,West African Aethomys,"N Nigeria, Bauchi Province, Kabwir.
N Nigeria to W Cameroon."
5337,thomasi FALSE,Thomas’s Aethomys,"Angola, Galanga."
5338, FALSE,,
5339,imitator FALSE,Uneven-toothed Rat,"Papua New Guinea, Central Province, Aroa River, Avera."
5340, FALSE,,
5341,mindorensis FALSE,Mindoro Forest Anonymomys,"Philippines, Mindoro Isl, Halcon Range, Ilong Peak, 4500 ft (1370 m)."
5342, FALSE,,
5343,agrarius FALSE,Striped Field Mouse,"Russia, Ulianovsk Obl., middle Volga River, Ulianovsk (formerly Simbirsk)."
5344,alpicola FALSE,Alpine Field Mouse,"Allgäu, Osterachtal, S Germany."
5345,argenteus FALSE,Small Japanese Field Mouse,Japan.
5346,chevrieri FALSE,Chevrier’s Field Mouse,"China, Sichuan, Moupin."
5347,draco FALSE,South China Field Mouse,"S China, NW Fujian, Kuatun."
5348,epimelas FALSE,"Western Broad-toothed Field MouseSE Greece, Parnassós, Agoriana.",
5349,ﬂavicollis FALSE,Yellow-necked Field Mouse,"Denmark, Sieland Isl."
5350,gurkha FALSE,Nepalese Field Mouse,"Nepal, Gorkha, Laprak."
5351,hyrcanicus FALSE,Hyrcanian Field Mouse,"Azerbaijan, Caucasus, Astarinski (R-NO), Hirkauski Preserve, ""Piavolil"" Dist., 450 m."
5352,latronum FALSE,Large-eared Field Mouse,"China, W Szechwan, Tatsienlu."
5353,mystacinus FALSE,"Eastern Broad-toothed Field MouseTurkey, Adana Province, Bulgar Dagh Mt, Zebil.",
5354,pallipes FALSE,Himalayan Field Mouse,"E Tajikistan, Pamir Altai, Surhad Wahkan; see Barrett-Hamilton (1900:417) and Mezhzherin (1997<i>a</i>:38) for condition of holotype."
5355,peninsulae FALSE,Korean Field Mouse,"Korea, 110 mi SE of Seoul, Mingyoung."
5356,ponticus FALSE,Caucasus Field Mouse,"N Caucasus, Chernomorski Dist., (Black Sea) Olgino Village."
5357,rusiges FALSE,Kashmir Field Mouse,"N India, C Kashmir (""Central Kashmir and the Pir Panjal"" True, 1894)."
5358,semotus FALSE,Taiwan Field Mouse,"Taiwan (M.-j. Yu, 1996)."
5359,speciosus FALSE,Large Japanese Field Mouse,Japan.
5360,sylvaticus FALSE,Long-tailed Field Mouse,"Sweden, Uppsala (neotype designated by Zagorodnyuk [1993])."
5361,uralensis FALSE,Herb Field Mouse,"Russia, S Ural Mtns."
5362,witherbyi FALSE,Steppe Field Mouse,"S Iran, Fars Province, Shul (see Lay, 1967, for coordinates)."
5363, FALSE,,
5364,abrae FALSE,Luzon Cordillera Apomys,"Philippines, Luzon Isl, Abra Province, Abra, 3500 ft (1067 m)."
5365,datae FALSE,Northern Luzon Apomys,"Philippines, N Luzon Isl, Lepanto."
5366,gracilirostris FALSE,Large Mindoro Apomys,"Philippines, Mindoro Isl, Mindoro Occidental Province, Municipality of San Teodoro, North Ridge approach to Mt Halcon, 1580 m, 13°16'48""N, 121°59'19""E."
5367,hylocetes FALSE,Mindanao Mossy Forest Apomys,"Philippines, Mindanao Isl, Mt Apo, 6000 ft (1830 m)."
5368,insignis FALSE,"Mindanao Montane Forest Apomys Philippines, S Mindanao Isl, Mt Apo, 6000 ft (1830 m).",
5369,littoralis FALSE,Mindanao Lowland Apomys,"Philippines, Mindanao Isl, Bugasan, Cotabato, 50 ft (15 m)."
5370,microdon FALSE,Small Luzon Apomys,"Philippines, Cataduanes Isl, Biga."
5371,musculus FALSE,Least Philippine Apomys,"Philippines, Luzon Isl, Benguet, Baguio, Camp John Hay, 5000 ft (1524 m)."
5372,sacobianus FALSE,Long-nosed Luzon Apomys,"Philippines, Luzon Isl, Pampanga Province, Sacobia River, Clark Air Base."
5373, FALSE,,
5374,luzonensis FALSE,Isarog Shrew Mouse,"Philippines, SE Luzon Isl, Camarines Sur Province, Mt Isarog, 6560 ft (2000 m)."
5375,musseri FALSE,Sierra Madre Shrew Mouse,"Philippines, N Luzon Isl, Cagayan Province, Callao Municipality, Sierra Madre Range, Mt Cetaceo, 1650 m, 17°42'N, 122°02'E."
5376, FALSE,,
5377,abyssinicus FALSE,Ethiopian Arvicanthis,"Ethiopia, Simien Province, Simien Mtns, Entschetqab (see Osgood, 1936:252)."
5378,ansorgei FALSE,Sudanian Arvicanthis,"Bissau Guinea, Gunnal."
5379,blicki FALSE,Blick’s Arvicanthis,"Ethiopia, South Chilalo Mtns, Hora Mt base camp, 9000 ft (2743 m)."
5380,nairobae FALSE,East African Arvicanthis,"Kenya, Nairobi."
5381,neumanni FALSE,Neumann’s Arvicanthis,"C. Tanzania, Kondoa District, Barungi."
5382,niloticus FALSE,African Arvicanthis,Egypt.
5383,ruﬁnus FALSE,Guinean Arvicanthis,"S Ghana, Elmina."
5384, FALSE,,
5385,bengalensis FALSE,Lesser Bandicoot Rat.,"India, Bengal"
5386,indica FALSE,Greater Bandicoot Rat,"India, Pondicherry."
5387,savilei FALSE,Savile’s Bandicoot Rat,"Burma, Mt Popa, about 2500 ft (760 m)."
5388, FALSE,,
5389,dentatus FALSE,Large-toothed Batomys,"Philippines, N Luzon Isl, Benguet, Haights-in-the-Oaks, 7000 ft (2134 m)."
5390,granti FALSE,,"Philippines, N Luzon Isl, Mountain Province, Mt Data, 7000 ft (2134 m)."
5391,russatus FALSE,Russet Batomys,"Philippines, Dinagat Isl (Surigao del Norte Province), Plaridel Municipality, Libjo (=Albor). Greater Mindanao Faunal Region. Endemic to Dinagat Isl in lowland tropical evergreen rainforest."
5392,salomonseni FALSE,Mindanao Batomys,"Philippines, Mindanao Isl, Bukidnon Province, Mt Katanglad, 1600 m."
5393, FALSE,,
5394,berdmorei FALSE,Berdmore’s Berylmys,"S Burma (S Tenasserim), Mergui."
5395,bowersi FALSE,Bower’s Berylmys,"China, Yunnan Province, Kakhyen Hills, Hotha, 4500 ft (1370 m)."
5396,mackenziei FALSE,Mackenzie’s Berylmys,"Burma, Chin Hills, 50 mi (80 km) west of Kindat."
5397,manipulus FALSE,Manipur Berylmys,"C Burma, Kabaw Valley, Kampat, 20 mi (32 km) west of Kindat."
5398, FALSE,,
5399,bagobus FALSE,Mindanao Bullimus,"Philippines, Mindanao Isl, Mt Apo, Todaya, 4000 ft (1220 m)."
5400,gamay FALSE,Camiguin Bullimus,"Philippines, Camiguin Isl, Camiguin Province, Mt Timpoong, 2 km N, 6.5 km W Mahinog, 1275 m, 09°11' N/124°43' E."
5401,luzonicus FALSE,,"Philippines, Luzon Isl, Lepanto, Mt Data, 8,000 ft (2440 m)."
5402, FALSE,,
5403,andrewsi FALSE,Andrew’s Bunomys,"Indonesia, NE Sulawesi, Buton Isl."
5404,chrysocomus FALSE,Common Bunomys,"Indonesia, N Sulawesi, Minahassa."
5405,coelestis FALSE,Lampobatang Bunomys,"Indonesia, SW Sulawesi, Bonthain Peak (Gunung Lampobatang), 6000 ft (1830 m)."
5406,fratrorum FALSE,Northeastern Peninsula Bunomys,"Indonesia, NE Sulawesi, Rurukan, 3500 ft (1067 m).
Sulawesi; Endemic to NE region of N peninsula."
5407,penitus FALSE,Montane Bunomys,"Indonesia, C Sulawesi, Gunung Lehio, above 6000 ft (1830 m)."
5408,prolatus FALSE,Tambusisi Bunomys,"Indonesia, C Sulawesi, Gunung Tambusisi, 6000 ft (1830 m)."
5409, FALSE,,
5410,melanurus FALSE,Large Luzon Carpomys,"Philippines, NW Luzon Isl, Mt Data, 7000-8000 ft (2130-2440 m)."
5411,phaeurus FALSE,Small Luzon Carpomys,"Philippines, NW Luzon Isl, Mt Data, 7000-8000 ft (2130-2440 m)."
5412, FALSE,,
5413,chiropus FALSE,Indochinese Chiromyscus,"E Burma, Karin Hills."
5414, FALSE,,
5415,calamianensis FALSE,Palawan Pencil-tailed Tree Mouse,"Philippines, Calamian Isls, Busuanga Isl, Minuit, sea level."
5416,gliroides FALSE,"Indomalayan Pencil-tailed Tree MouseNW India (Assam), Khasi Hills, Cherrapunji.",
5417,karlkoopmani FALSE,"Koopman’s Pencil-tailed Tree MouseIndonesia, Kepulauan Mentawai, Pulau Pagai Utara.",
5418,major FALSE,Greater Pencil-tailed Tree Mouse,"Malaysia (Borneo), Sarawak, Sadong."
