,ID,Scientific name
303,11000035,Ailuropinae 
304,11000036,Ailuropinae 
305,11000037,Ailuropinae 
306,11000038,Ailuropinae 
307,11000039,Ailuropinae 
308,11000040,Phalangerinae 
309,11000041,Phalangerinae Phalangerini
310,11000042,Phalangerinae Phalangerini
311,11000043,Phalangerinae Phalangerini
312,11000044,Phalangerinae Phalangerini
313,11000045,Phalangerinae Phalangerini
314,11000046,Phalangerinae Phalangerini
315,11000047,Phalangerinae Phalangerini
316,11000048,Phalangerinae Phalangerini
317,11000049,Phalangerinae Phalangerini
318,11000050,Phalangerinae Phalangerini
319,11000051,Phalangerinae Phalangerini
320,11000052,Phalangerinae Phalangerini
321,11000053,Phalangerinae Phalangerini
322,11000054,Phalangerinae Phalangerini
323,11000055,Phalangerinae Phalangerini
324,11000056,Phalangerinae Phalangerini
325,11000057,Phalangerinae Phalangerini
326,11000058,Phalangerinae Phalangerini
327,11000059,Phalangerinae Phalangerini
328,11000060,Phalangerinae Phalangerini
329,11000061,Phalangerinae Phalangerini
330,11000062,Phalangerinae Phalangerini
331,11000063,Phalangerinae Phalangerini
332,11000064,Phalangerinae Phalangerini
333,11000065,Phalangerinae Phalangerini
334,11000066,Phalangerinae Phalangerini
335,11000067,Phalangerinae Phalangerini
336,11000068,Phalangerinae Phalangerini
337,11000069,Phalangerinae Phalangerini
338,11000070,Phalangerinae Phalangerini
339,11000071,Phalangerinae Phalangerini
340,11000072,Phalangerinae Phalangerini
341,11000073,Phalangerinae Phalangerini
342,11000074,Phalangerinae Phalangerini
343,11000075,Phalangerinae Trichosurini
344,11000076,Phalangerinae Trichosurini
345,11000077,Phalangerinae Trichosurini
346,11000078,Phalangerinae Trichosurini
347,11000079,Phalangerinae Trichosurini
348,11000080,Phalangerinae Trichosurini
349,11000081,Phalangerinae Trichosurini
350,11000082,Phalangerinae Trichosurini
351,11000083,Phalangerinae Trichosurini
352,11000084,Phalangerinae Trichosurini
353,11000085,Phalangerinae Trichosurini
354,11000086,Phalangerinae Trichosurini
355,11000087,Phalangerinae Trichosurini
356,11000088,Phalangerinae Trichosurini
357,11000089,Phalangerinae Trichosurini
358,11000090,Phalangerinae Trichosurini
359,11000091,Phalangerinae Trichosurini
360,11000092, 
361,11000093, 
362,11000094,Hemibelideinae 
363,11000095,Hemibelideinae 
364,11000096,Hemibelideinae 
365,11000097,Hemibelideinae 
366,11000098,Hemibelideinae 
367,11000099,Hemibelideinae 
368,11000100,Hemibelideinae 
369,11000101,Pseudocheirinae 
370,11000102,Pseudocheirinae 
371,11000103,Pseudocheirinae 
372,11000104,Pseudocheirinae 
373,11000105,Pseudocheirinae 
374,11000106,Pseudocheirinae 
375,11000107,Pseudocheirinae 
376,11000108,Pseudocheirinae 
377,11000109,Pseudocheirinae 
378,11000110,Pseudocheirinae 
379,11000111,Pseudocheirinae 
380,11000112,Pseudocheirinae 
381,11000113,Pseudocheirinae 
382,11000114,Pseudocheirinae 
383,11000115,Pseudocheirinae 
384,11000116,Pseudocheirinae 
385,11000117,Pseudocheirinae 
386,11000118,Pseudocheirinae 
387,11000119,Pseudocheirinae Pseudochirulus
388,11000120,Pseudocheirinae Pseudochirulus
389,11000121,Pseudocheirinae Pseudochirulus
390,11000122,Pseudocheirinae Pseudochirulus
391,11000123,Pseudocheirinae Pseudochirulus
392,11000124,Pseudocheirinae Pseudochirulus
393,11000125,Pseudocheirinae Pseudochirulus
394,11000126,Pseudochiropsinae 
395,11000127,Pseudochiropsinae Pseudochirops
396,11000128,Pseudochiropsinae Pseudochirops
397,11000129,Pseudochiropsinae Pseudochirops
398,11000130,Pseudochiropsinae Pseudochirops
399,11000131,Pseudochiropsinae Pseudochirops
400,11000132,Pseudochiropsinae Pseudochirops
401,11000133,Pseudochiropsinae Pseudochirops
402,11000134,Pseudochiropsinae Pseudochirops
403,11000135,Pseudochiropsinae Pseudochirops
404,11000136,Pseudochiropsinae Pseudochirops
405,11000137,Pseudochiropsinae Pseudochirops
406,11000138,Pseudochiropsinae Pseudochirops
407,11000139, 
408,11000140, Dactylopsila
409,11000141, Dactylopsila
410,11000142, Dactylopsila
411,11000143, Dactylopsila
412,11000144, Dactylopsila
413,11000145, Dactylopsila
414,11000146, Dactylopsila
415,11000147, Dactylopsila
416,11000148, Dactylopsila
417,11000149, Gymnobelideus
418,11000150, Gymnobelideus
419,11000151, Petaurus
420,11000152, Petaurus
421,11000153, Petaurus
422,11000154, Petaurus
423,11000155, Petaurus
424,11000156, Petaurus
425,11000157, Petaurus
426,11000158, Petaurus
427,11000159, Petaurus
428,11000160, Petaurus
429,11000161, Petaurus
430,11000162, Petaurus
431,11000163, Petaurus
432,11000164, 
433,11000165, Tarsipes
434,11000166, Tarsipes
435,11000167, 
436,11000168, Acrobates
437,11000169, Acrobates
438,11000170, Distoechurus
439,11000171, Distoechurus
440,11000172, 
441,11000173, 
442,11000174, Hypsiprymnodon
443,11000175, Hypsiprymnodon
444,11000176, 
445,11000177, Aepyprymnus
446,11000178, Aepyprymnus
447,11000179, Bettongia
448,11000180, Bettongia
449,11000181, Bettongia
450,11000182, Bettongia
451,11000183, Bettongia
452,11000184, Caloprymnus
453,11000185, Caloprymnus
454,11000186, Potorous
455,11000187, Potorous
456,11000188, Potorous
457,11000189, Potorous
458,11000190, Potorous
459,11000191, Potorous
460,11000192, Potorous
461,11000193, 
462,11000194,Sthenurinae 
463,11000195,Sthenurinae Lagostrophus
464,11000196,Sthenurinae Lagostrophus
465,11000197,Sthenurinae Lagostrophus
466,11000198,Sthenurinae Lagostrophus
467,11000199,Macropodinae 
468,11000200,Macropodinae Dendrolagus
469,11000201,Macropodinae Dendrolagus
470,11000202,Macropodinae Dendrolagus
471,11000203,Macropodinae Dendrolagus
472,11000204,Macropodinae Dendrolagus
473,11000205,Macropodinae Dendrolagus
474,11000206,Macropodinae Dendrolagus
475,11000207,Macropodinae Dendrolagus
476,11000208,Macropodinae Dendrolagus
477,11000209,Macropodinae Dendrolagus
478,11000210,Macropodinae Dendrolagus
479,11000211,Macropodinae Dendrolagus
480,11000212,Macropodinae Dendrolagus
481,11000213,Macropodinae Dendrolagus
482,11000214,Macropodinae Dendrolagus
483,11000215,Macropodinae Dendrolagus
484,11000216,Macropodinae Dendrolagus
485,11000217,Macropodinae Dendrolagus
486,11000218,Macropodinae Dendrolagus
487,11000219,Macropodinae Dendrolagus
488,11000220,Macropodinae Dorcopsis
489,11000221,Macropodinae Dorcopsis
490,11000222,Macropodinae Dorcopsis
491,11000223,Macropodinae Dorcopsis
492,11000224,Macropodinae Dorcopsis
493,11000225,Macropodinae Dorcopsis
494,11000226,Macropodinae Dorcopsis
495,11000227,Macropodinae Dorcopsis
496,11000228,Macropodinae Dorcopsis
497,11000229,Macropodinae Dorcopsis
498,11000230,Macropodinae Dorcopsis
499,11000231,Macropodinae Dorcopsulus
500,11000232,Macropodinae Dorcopsulus
501,11000233,Macropodinae Dorcopsulus
502,11000234,Macropodinae Lagorchestes
503,11000235,Macropodinae Lagorchestes
504,11000236,Macropodinae Lagorchestes
505,11000237,Macropodinae Lagorchestes
506,11000238,Macropodinae Lagorchestes
507,11000239,Macropodinae Macropus
508,11000240,Macropodinae Macropus
509,11000241,Macropodinae Macropus
510,11000242,Macropodinae Macropus
511,11000243,Macropodinae Macropus
512,11000244,Macropodinae Macropus
513,11000245,Macropodinae Macropus
514,11000246,Macropodinae Macropus
515,11000247,Macropodinae Macropus
516,11000248,Macropus Osphranter
517,11000249,Macropus Osphranter
518,11000250,Macropus Notamacropus
519,11000251,Macropus Notamacropus
520,11000252,Macropus Macropus
