,Scientific name,Common name,Location
453,Phalangerinae Phalangerini,Northern Common Cuscus,Indonesia
454,Phalangerinae Phalangerini,,Indonesia
455,Phalangerinae Phalangerini,,
456,Phalangerinae Phalangerini,Ornate Cuscus,Indonesia: Bachian (= Bacan or Batjan) Isl.
457,Phalangerinae Phalangerini,Rothschild’s Cuscus,Moluccas
458,Phalangerinae Phalangerini,Silky Cuscus,Papua New Guinea
459,Phalangerinae Phalangerini,,Papua New Guinea
460,Phalangerinae Phalangerini,,
461,Phalangerinae Phalangerini,Stein’s Cuscus,Indonesia
462,Phalangerinae Phalangerini,,
463,Phalangerinae Phalangerini,Admiralty Island Cuscus,Papua New Guinea
464,Phalangerinae Phalangerini,Common Spotted Cuscus,Indonesia
465,Phalangerinae Phalangerini,,Indonesia
466,Phalangerinae Phalangerini,,
467,Phalangerinae Phalangerini,,
468,Phalangerinae Phalangerini,,
469,Phalangerinae Phalangerini,Waigeou Cuscus,Indonesia
470,Phalangerinae Phalangerini,Black-spotted Cuscus,Papua New Guinea
471,Phalangerinae Trichosurini,,
472,Phalangerinae Trichosurini,,
473,Phalangerinae Trichosurini,Sulawesi Dwarf Cuscus,Indonesia
474,Phalangerinae Trichosurini,,Indonesia
475,Phalangerinae Trichosurini,,
476,Phalangerinae Trichosurini,,
477,Phalangerinae Trichosurini,Banggai Cuscus,Indonesia: Peleng Isl.
478,Phalangerinae Trichosurini,,Indonesia: Peleng Isl.
479,Phalangerinae Trichosurini,,
480,Phalangerinae Trichosurini,,
481,Phalangerinae Trichosurini,Northern Brushtail,Australia
482,Phalangerinae Trichosurini,Short-eared Possum,Australia
483,Phalangerinae Trichosurini,Mountain Brushtail Possum,Australia
484,Phalangerinae Trichosurini,Coppery Brushtail,Australia
485,Phalangerinae Trichosurini,Common Brushtail,Australia
486,Phalangerinae Trichosurini,,
487,Phalangerinae Trichosurini,Scaly-tailed Possum,Australia
488, ,,
489, ,,
490,Hemibelideinae ,,
491,Hemibelideinae ,,
492,Hemibelideinae ,Lemur-like Ringtail,Australia
493,Hemibelideinae ,,
494,Hemibelideinae ,Greater Glider,Australia
495,Hemibelideinae ,,Australia
496,Hemibelideinae ,,
497,Pseudocheirinae ,,
498,Pseudocheirinae ,,
499,Pseudocheirinae ,Rock-haunting ringtail,Australia
500,Pseudocheirinae ,,
501,Pseudocheirinae ,Common Ringtail,Australia
502,Pseudocheirinae ,,Australia
503,Pseudocheirinae ,,
504,Pseudocheirinae ,,
505,Pseudocheirinae ,,
506,Pseudocheirinae ,,
507,Pseudocheirinae ,Lowland Ringtail,Indonesia
508,Pseudocheirinae ,,Indonesia
509,Pseudocheirinae ,,
510,Pseudocheirinae ,,
511,Pseudocheirinae ,,
512,Pseudocheirinae ,,
513,Pseudocheirinae ,Weyland Ringtail,Indonesia
514,Pseudocheirinae ,,Indonesia
515,Pseudocheirinae Pseudochirulus,,
516,Pseudocheirinae Pseudochirulus,Cinereous Ringtail,Australia
517,Pseudocheirinae Pseudochirulus,Painted Ringtail,Papua New Guinea
518,Pseudocheirinae Pseudochirulus,Herbert River Ringtail,Australia
519,Pseudocheirinae Pseudochirulus,Masked Ringtail,Papua New Guinea
520,Pseudocheirinae Pseudochirulus,Pygmy Ringtail,Indonesia
521,Pseudocheirinae Pseudochirulus,Vogelkop Ringtail,Indonesia
522,Pseudochiropsinae ,,
523,Pseudochiropsinae Pseudochirops,,
524,Pseudochiropsinae Pseudochirops,D’Albertis’ Ringtail,Indonesia
525,Pseudochiropsinae Pseudochirops,,Indonesia
526,Pseudochiropsinae Pseudochirops,,
527,Pseudochiropsinae Pseudochirops,,
528,Pseudochiropsinae Pseudochirops,Green Ringtail,Australia
529,Pseudochiropsinae Pseudochirops,Plush-coated Ringtail,Papua New Guinea
530,Pseudochiropsinae Pseudochirops,,Papua New Guinea
531,Pseudochiropsinae Pseudochirops,,
532,Pseudochiropsinae Pseudochirops,,
533,Pseudochiropsinae Pseudochirops,Reclusive Ringtail,Indonesia
534,Pseudochiropsinae Pseudochirops,Coppery Ringtail,Papua New Guinea
535, ,,
536, Dactylopsila,,
537, Dactylopsila,Great-tailed Triok,Indonesia
538, Dactylopsila,Long-ﬁngered Triok,"South coast of New Guinea""."
539, Dactylopsila,Tate’s Triok,Papua New Guinea
540, Dactylopsila,Striped Possum,Indonesia
541, Dactylopsila,,Indonesia
542, Dactylopsila,,
543, Dactylopsila,,
544, Dactylopsila,,
545, Gymnobelideus,,
546, Gymnobelideus,Leadebeater’s Possum,Australia
547, Petaurus,,
548, Petaurus,Northern Glider,Papua New Guinea
549, Petaurus,Yellow-bellied Glider,Australia
550, Petaurus,,Australia
551, Petaurus,,
552, Petaurus,Biak Glider,Indonesia
553, Petaurus,Sugar Glider,Australia
554, Petaurus,,Australia
555, Petaurus,,
556, Petaurus,,
557, Petaurus,,
558, Petaurus,Ebony Glider,Australia
559, Petaurus,Squirrel Glider,Australia
560, ,,
561, Tarsipes,,
562, Tarsipes,Honey possum,Australia
563, ,,
564, Acrobates,,
565, Acrobates,Feather-tailed Glider,Australia
566, Distoechurus,,
567, Distoechurus,Feather-tailed Possum,
568, ,,
569, ,,
570, Hypsiprymnodon,,
571, Hypsiprymnodon,Musky Rat-kangaroo,Australia
572, ,,
573, Aepyprymnus,,
574, Aepyprymnus,Rufous Rat-kangaroo,Australia
575, Bettongia,,
576, Bettongia,Eastern Bettong,Australia
577, Bettongia,Boodie,Australia
578, Bettongia,Woylie,Australia
579, Bettongia,Northern Bettong,Australia
580, Caloprymnus,,
581, Caloprymnus,Desert Rat-kangaroo,Australia
582, Potorous,,
583, Potorous,,
584, Potorous,Long-footed Potoroo,Australia
585, Potorous,Broad-faced Potoroo,Australia
586, Potorous,Long-nosed Potoroo,Australia
587, Potorous,,Australia
588, Potorous,,
589, ,,
590,Sthenurinae ,,
591,Sthenurinae Lagostrophus,,
592,Sthenurinae Lagostrophus,Banded Hare-wallaby,Australia
593,Sthenurinae Lagostrophus,,Australia
594,Sthenurinae Lagostrophus,,
595,Macropodinae ,,
596,Macropodinae Dendrolagus,,
597,Macropodinae Dendrolagus,Bennett’s Tree-kangaroo,Australia
598,Macropodinae Dendrolagus,Doria’s Tree-kangaroo,Papua New Guinea
599,Macropodinae Dendrolagus,,Papua New Guinea
600,Macropodinae Dendrolagus,,
601,Macropodinae Dendrolagus,,
602,Macropodinae Dendrolagus,Goodfellow’s Tree-kangaroo,Papua New Guinea
603,Macropodinae Dendrolagus,,Papua New Guinea
604,Macropodinae Dendrolagus,,
605,Macropodinae Dendrolagus,,
606,Macropodinae Dendrolagus,,
607,Macropodinae Dendrolagus,,
608,Macropodinae Dendrolagus,Lumholtz’s Tree-kangaroo,Australia
609,Macropodinae Dendrolagus,Huon Tree-kangaroo,Papua New Guinea
610,Macropodinae Dendrolagus,Dingiso,
611,Macropodinae Dendrolagus,Golden-mantled Tree-kangaroo,Papua New Guinea
612,Macropodinae Dendrolagus,Tenkile,Papua New Guinea
613,Macropodinae Dendrolagus,Lowlands Tree-kangaroo,Papua New Guinea
614,Macropodinae Dendrolagus,Seri’s Tree-kangaroo,Papua New Guinea
615,Macropodinae Dendrolagus,Ursine Tree-kangaroo,Indonesia
616,Macropodinae Dorcopsis,,
617,Macropodinae Dorcopsis,Black Dorcopsis,Papua New Guinea
618,Macropodinae Dorcopsis,White-striped Dorcopsis,Papua New Guinea
619,Macropodinae Dorcopsis,Grey Dorcopsis,"Southeast of New Guinea""."
620,Macropodinae Dorcopsis,,"Southeast of New Guinea""."
621,Macropodinae Dorcopsis,,
622,Macropodinae Dorcopsis,Brown Dorcopsis,Indonesia
623,Macropodinae Dorcopsis,,Indonesia
624,Macropodinae Dorcopsis,,
625,Macropodinae Dorcopsis,,
626,Macropodinae Dorcopsis,,
627,Macropodinae Dorcopsulus,,
628,Macropodinae Dorcopsulus,Macleay’s Dorcopsis,Papua New Guinea
